"","term","estimate","std.error","statistic","p.value","genotype","treatment","rate.type","temp.Cat"
"1","lnc",1.6247867214796,61.5792044571341,0.0263853152343115,0.979137163520649,"M6","T3","R",27
"2","E",0.0437608052827253,0.957244933395241,0.0457153689260184,0.963861607033623,"M6","T3","R",27
"3","Eh",2.54617644891646e-06,1.91714351185987,1.32810946763518e-06,0.999998949739268,"M6","T3","R",27
"4","Th",317.165708567856,420999027.702119,7.53364468082023e-07,0.99999940424405,"M6","T3","R",27
"5","lnc",1.62244485196563,70.7583938725163,0.022929362343763,0.981869247908946,"M5","T3","R",27
"6","E",0.0275192496020788,0.832224158142103,0.0330671121870748,0.973855667438161,"M5","T3","R",27
"7","Eh",2.3096611954432e-06,1.66784914798926,1.38481420710482e-06,0.999998904897512,"M5","T3","R",27
"8","Th",300.070696689984,475575129.562504,6.30963812102681e-07,0.99999950103773,"M5","T3","R",27
"9","lnc",1.49574704439588,51347.72936683,2.91297602219217e-05,0.999976964366248,"K2","T3","R",27
"10","E",0,1364.50335365797,0,1,"K2","T3","R",27
"11","Eh",0.0526614782909327,437.885224475871,0.000120263199914923,0.999904896607472,"K2","T3","R",27
"12","Th",351.35982237388,23837461.0631339,1.47398173590424e-05,0.999988343843832,"K2","T3","R",27
"13","lnc",1.64196357137553,0.248981318455932,6.5947259881112,3.75196755365805e-07,"M6","C","R",27
"14","E",0.0172343345600876,0.0142869385817426,1.20630003842191,0.237795861366214,"M6","C","R",27
"15","Eh",6.82081625293494e-09,0.0108980240385297,6.25876418405772e-07,0.999999505060809,"M6","C","R",27
"16","Th",334.841279373889,744791149.788834,4.49577414378279e-07,0.999999644476968,"M6","C","R",27
"17","lnc",1.59066508737017,0.741279825022253,2.14583620608104,0.0443406136320074,"M5","C","R",27
"18","E",0.036786560019357,0.0380051861151883,0.967935268304229,0.344636953069758,"M5","C","R",27
"19","Eh",2.51628241331546e-08,0.0479643698845261,5.24614921320429e-07,0.999999586615418,"M5","C","R",27
"20","Th",310.199295024002,503353655.565507,6.16265108227931e-07,0.999999514397163,"M5","C","R",27
"21","lnc",0.991414658908497,265.646040017018,0.00373208898143177,0.997048694271303,"K2","C","R",27
"22","E",0,35.8856308986257,0,1,"K2","C","R",27
"23","Eh",0.258353851930635,559.351729277277,0.000461880849576432,0.999634747501635,"K2","C","R",27
"24","Th",422.856194559731,71164.843810024,0.00594192542161061,0.995301190858497,"K2","C","R",27
"25","lnc",1.63265504607679,0.625866486611814,2.60863152285933,0.0144220761561796,"M6","T2","R",27
"26","E",0.0182411129108421,0.0163636460658763,1.11473401694265,0.274441432844973,"M6","T2","R",27
"27","Eh",2.20238059715987e-08,0.028120125043012,7.83204411001429e-07,0.999999380646808,"M6","T2","R",27
"28","Th",370.969288117989,726223408.090904,5.10819789041492e-07,0.999999596046878,"M6","T2","R",27
"29","lnc",1.62009109753569,4.33946565897507,0.373338845114478,0.71170801715847,"M5","T2","R",27
"30","E",0.0181104996984604,0.0883021778073881,0.205096863386139,0.838980178181959,"M5","T2","R",27
"31","Eh",1.38797746856346e-07,0.162355897922754,8.54898088903323e-07,0.999999323951892,"M5","T2","R",27
"32","Th",314.02445769921,538591062.221029,5.83048029806218e-07,0.999999538929233,"M5","T2","R",27
"33","lnc",0.948188902833332,39.7465959431304,0.0238558518115616,0.981136793399307,"K2","T2","R",27
"34","E",0,10.1385958373259,0,1,"K2","T2","R",27
"35","Eh",0.469314592456385,593.018649003478,0.000791399382203294,0.999374166343522,"K2","T2","R",27
"36","Th",392.018538063686,71797.536288977,0.00546005557190508,0.99568224413028,"K2","T2","R",27
"37","lnc",1.62077594304311,3.29812149484107,0.491423965302168,0.626956859365943,"M6","T1","R",27
"38","E",0.0218567885403627,0.0599675001920949,0.364477233007021,0.718239942351984,"M6","T1","R",27
"39","Eh",9.47686180683857e-08,0.106233714970099,8.92076664127389e-07,0.999999294551306,"M6","T1","R",27
"40","Th",189.153312146377,152187627.670961,1.24289546424456e-06,0.999999017125974,"M6","T1","R",27
"41","lnc",1.02597341522272,2304.33265060247,0.000445236678373879,0.999647909607613,"M5","T1","R",27
"42","E",0,143.718413277343,0,1,"M5","T1","R",27
"43","Eh",0.122111612405587,1141.45221746194,0.000106979171390202,0.999915401534788,"M5","T1","R",27
"44","Th",569.730481186942,671513.225569619,0.000848427788899707,0.999329068648835,"M5","T1","R",27
"45","lnc",1.71031372691083,37974.0068101551,4.5039064101433e-05,0.999964383387399,"K2","T1","R",27
"46","E",0,1072.82941989348,0,1,"K2","T1","R",27
"47","Eh",0.0559527200869062,171.830289691148,0.000325627805129566,0.999742495555569,"K2","T1","R",27
"48","Th",280.083584126446,8462428.19838565,3.30973070093376e-05,0.999973826854852,"K2","T1","R",27
"49","lnc",1.35959011850488,0.0146813953051776,92.6063286386271,2.23665809612834e-36,"M6","T3","GP",27
"50","E",0.0869173279723145,0.0709289273431699,1.22541438631645,0.230627322676497,"M6","T3","GP",27
"51","Eh",10.3026271500164,4.09458679026732,2.51615796116603,0.0178744555443736,"M6","T3","GP",27
"52","Th",307.266706039031,0.334275638862814,919.201611832482,2.87739939398091e-64,"M6","T3","GP",27
"53","lnc",1.34331382182587,0.0158335728758782,84.8395894190345,2.57701788258661e-35,"M5","T3","GP",27
"54","E",0.0687855107640472,0.0648454468062818,1.06076084215343,0.297863223746659,"M5","T3","GP",27
"55","Eh",12.3918623486056,5.62244688958451,2.2039981154044,0.0359134678934542,"M5","T3","GP",27
"56","Th",307.26075541343,0.38593451337666,796.14738968306,1.60923598744027e-62,"M5","T3","GP",27
"57","lnc",1.36828237339151,0.0173439273401493,78.8911500006166,1.95669012319836e-34,"K2","T3","GP",27
"58","E",0.0856296401699729,0.0679340868988637,1.26048121169941,0.217899209740619,"K2","T3","GP",27
"59","Eh",13.6486983547901,6.5956769149823,2.06934004359531,0.0478562153639989,"K2","T3","GP",27
"60","Th",307.067773027187,0.35449035312621,866.223214028792,1.51650011083376e-63,"K2","T3","GP",27
"61","lnc",1.34665024841579,0.0152954666815588,88.0424426695915,9.16486111207497e-36,"M6","C","GP",27
"62","E",0.0586293461556449,0.0621879895877272,0.942776033512674,0.353859526386644,"M6","C","GP",27
"63","Eh",12.6041711665245,4.99881937448186,2.52142960613195,0.017658727745586,"M6","C","GP",27
"64","Th",307.187569354664,0.303853454893372,1010.97277127378,2.00369132625106e-65,"M6","C","GP",27
"65","lnc",1.38040778448307,0.0171628347613667,80.4300573696803,1.36500449762302e-26,"M5","C","GP",27
"66","E",0.209345323658828,0.12601238805552,1.66130748642421,0.112247907110112,"M5","C","GP",27
"67","Eh",7.1691789831862,2.81859576465088,2.54352861559564,0.0193437149764142,"M5","C","GP",27
"68","Th",307.267145246796,0.238314089823742,1289.33688089551,1.11923326017868e-50,"M5","C","GP",27
"69","lnc",1.37087459380822,0.0174123823887024,78.7298695379951,2.07156820025194e-34,"K2","C","GP",27
"70","E",0.0977303112513907,0.103745102520806,0.942023371481956,0.354237991432637,"K2","C","GP",27
"71","Eh",8.42428495501519,5.6031390872326,1.50349381371076,0.14390826190865,"K2","C","GP",27
"72","Th",307.658136713861,0.745714403679462,412.568317301948,1.58432928574341e-54,"K2","C","GP",27
"73","lnc",1.34963610031244,0.0148195526105632,91.0713120550237,3.56618179304524e-36,"M6","T2","GP",27
"74","E",0.0587683283837861,0.0646395783267154,0.909169426922102,0.371020534460136,"M6","T2","GP",27
"75","Eh",11.5830624729148,4.77912312585729,2.42367944241591,0.0220765225000651,"M6","T2","GP",27
"76","Th",307.216595780897,0.333227609136886,921.942202138168,2.64727827640278e-64,"M6","T2","GP",27
"77","lnc",1.35555818716719,0.0154597447913363,87.6830895634739,1.02727528056113e-35,"M5","T2","GP",27
"78","E",0.108505197258608,0.103643313624467,1.04690976642986,0.304094884607475,"M5","T2","GP",27
"79","Eh",7.45263768930249,3.73982216668912,1.99277862880318,0.0561144053886702,"M5","T2","GP",27
"80","Th",307.654011126609,0.476487311860719,645.670941216034,5.67527860509289e-60,"M5","T2","GP",27
"81","lnc",1.37418584815374,0.0141102020293432,97.3895232184503,5.48313007693144e-37,"K2","T2","GP",27
"82","E",0.0856313398571067,0.0529318570522781,1.6177656448466,0.116924836717235,"K2","T2","GP",27
"83","Eh",15.0855018869854,5.89692631651605,2.55819745360122,0.0162197345444321,"K2","T2","GP",27
"84","Th",307.063734522776,0.277020115965198,1108.45284088088,1.52223098272442e-66,"K2","T2","GP",27
"85","lnc",1.38176245249997,0.0182858205165663,75.5646951280171,6.50153322438614e-34,"M6","T1","GP",27
"86","E",0.109858761556682,0.079014638252277,1.39035960913883,0.175373577186068,"M6","T1","GP",27
"87","Eh",11.4366214591024,4.93307962774151,2.31835330506075,0.027953120366114,"M6","T1","GP",27
"88","Th",307.160365052106,0.325549687971731,943.513007079825,1.38538618267072e-64,"M6","T1","GP",27
"89","lnc",1.36776809069233,0.0148474147452098,92.1216329013512,2.58947014285956e-36,"M5","T1","GP",27
"90","E",0.149679252472693,0.0949558941569613,1.57630291201591,0.126188655189425,"M5","T1","GP",27
"91","Eh",8.16935273283991,3.98064143781262,2.05227043441747,0.0495980774513945,"M5","T1","GP",27
"92","Th",307.500388901591,0.452615458001857,679.38552134101,1.36484741703242e-60,"M5","T1","GP",27
"93","lnc",1.3795329499353,0.0166580635499834,82.8147248805922,5.05519636089595e-35,"K2","T1","GP",27
"94","E",0.0899805325722496,0.0606219086134615,1.48429065712835,0.148903145912437,"K2","T1","GP",27
"95","Eh",14.9101831379303,8.22901676606336,1.81190336121567,0.0807399605319171,"K2","T1","GP",27
"96","Th",307.26423564838,0.457175551914593,672.092447554547,1.84637512185053e-60,"K2","T1","GP",27
